"T",,"date"
161,3027.17,"2022,05,30,11:54:11"
161.25,3028.17,"2022,05,30,11:54:12"
160.5,3029.17,"2022,05,30,11:54:13"
161,3030.17,"2022,05,30,11:54:14"
161.25,3031.17,"2022,05,30,11:54:15"
161,3032.17,"2022,05,30,11:54:16"
161,3033.18,"2022,05,30,11:54:17"
161.25,3034.18,"2022,05,30,11:54:18"
161,3035.18,"2022,05,30,11:54:19"
162,3036.18,"2022,05,30,11:54:20"
161.5,3037.18,"2022,05,30,11:54:21"
161.25,3038.18,"2022,05,30,11:54:22"
162.25,3039.19,"2022,05,30,11:54:23"
161.75,3040.19,"2022,05,30,11:54:24"
161.75,3041.19,"2022,05,30,11:54:25"
162,3042.19,"2022,05,30,11:54:26"
162.25,3043.19,"2022,05,30,11:54:27"
162.75,3044.19,"2022,05,30,11:54:28"
162.5,3045.2,"2022,05,30,11:54:29"
162.75,3046.2,"2022,05,30,11:54:30"
163.25,3047.2,"2022,05,30,11:54:31"
163.5,3048.2,"2022,05,30,11:54:32"
163,3049.2,"2022,05,30,11:54:33"
163.5,3050.2,"2022,05,30,11:54:34"
163.5,3051.21,"2022,05,30,11:54:35"
163.75,3052.21,"2022,05,30,11:54:36"
163.5,3053.21,"2022,05,30,11:54:37"
163.5,3054.21,"2022,05,30,11:54:38"
163.75,3055.21,"2022,05,30,11:54:39"
164.5,3056.21,"2022,05,30,11:54:40"
163.75,3057.22,"2022,05,30,11:54:41"
164.75,3058.22,"2022,05,30,11:54:42"
165,3059.22,"2022,05,30,11:54:43"
164.5,3060.22,"2022,05,30,11:54:44"
165,3061.22,"2022,05,30,11:54:45"
164.75,3062.22,"2022,05,30,11:54:46"
164.75,3063.23,"2022,05,30,11:54:47"
165.25,3064.23,"2022,05,30,11:54:48"
165,3065.23,"2022,05,30,11:54:49"
164.75,3066.23,"2022,05,30,11:54:50"
165.5,3067.23,"2022,05,30,11:54:51"
165.25,3068.23,"2022,05,30,11:54:52"
165.25,3069.23,"2022,05,30,11:54:53"
166.25,3070.24,"2022,05,30,11:54:54"
166.25,3071.24,"2022,05,30,11:54:55"
166,3072.24,"2022,05,30,11:54:56"
166.75,3073.24,"2022,05,30,11:54:57"
166.75,3074.24,"2022,05,30,11:54:58"
166.5,3075.25,"2022,05,30,11:54:59"
166.5,3076.25,"2022,05,30,11:55:00"
167,3077.25,"2022,05,30,11:55:01"
166.75,3078.25,"2022,05,30,11:55:02"
167,3079.25,"2022,05,30,11:55:03"
167,3080.25,"2022,05,30,11:55:04"
167.25,3081.25,"2022,05,30,11:55:05"
168,3082.26,"2022,05,30,11:55:06"
167.5,3083.26,"2022,05,30,11:55:07"
167.75,3084.26,"2022,05,30,11:55:08"
168.25,3085.26,"2022,05,30,11:55:09"
168,3086.26,"2022,05,30,11:55:10"
167.75,3087.26,"2022,05,30,11:55:11"
168,3088.27,"2022,05,30,11:55:12"
168,3089.27,"2022,05,30,11:55:13"
168.25,3090.27,"2022,05,30,11:55:14"
168.25,3091.27,"2022,05,30,11:55:15"
168.75,3092.27,"2022,05,30,11:55:16"
168.5,3093.27,"2022,05,30,11:55:17"
168.5,3094.28,"2022,05,30,11:55:18"
168.75,3095.28,"2022,05,30,11:55:19"
168.75,3096.28,"2022,05,30,11:55:20"
169.5,3097.28,"2022,05,30,11:55:21"
169.75,3098.28,"2022,05,30,11:55:22"
169.75,3099.28,"2022,05,30,11:55:23"
169.75,3100.29,"2022,05,30,11:55:24"
170,3101.29,"2022,05,30,11:55:25"
170.25,3102.29,"2022,05,30,11:55:26"
169.5,3103.29,"2022,05,30,11:55:27"
170.5,3104.29,"2022,05,30,11:55:28"
170.5,3105.29,"2022,05,30,11:55:29"
170.5,3106.3,"2022,05,30,11:55:30"
171,3107.3,"2022,05,30,11:55:31"
171,3108.3,"2022,05,30,11:55:32"
171,3109.3,"2022,05,30,11:55:33"
171.25,3110.3,"2022,05,30,11:55:34"
171.25,3111.3,"2022,05,30,11:55:35"
170.75,3112.31,"2022,05,30,11:55:36"
171,3113.31,"2022,05,30,11:55:37"
171.75,3114.31,"2022,05,30,11:55:38"
171.75,3115.31,"2022,05,30,11:55:39"
171.75,3116.31,"2022,05,30,11:55:40"
171.5,3117.31,"2022,05,30,11:55:41"
171.5,3118.32,"2022,05,30,11:55:42"
171.75,3119.32,"2022,05,30,11:55:43"
172.5,3120.32,"2022,05,30,11:55:44"
172.25,3121.32,"2022,05,30,11:55:45"
172.5,3122.32,"2022,05,30,11:55:46"
172.5,3123.32,"2022,05,30,11:55:47"
172.25,3124.33,"2022,05,30,11:55:48"
172.5,3125.33,"2022,05,30,11:55:49"
172.75,3126.33,"2022,05,30,11:55:50"
172.5,3127.33,"2022,05,30,11:55:51"
173,3128.33,"2022,05,30,11:55:52"
172.5,3129.33,"2022,05,30,11:55:53"
172.5,3130.33,"2022,05,30,11:55:54"
173,3131.34,"2022,05,30,11:55:55"
172.5,3132.34,"2022,05,30,11:55:56"
173.5,3133.34,"2022,05,30,11:55:57"
172.75,3134.34,"2022,05,30,11:55:58"
173.5,3135.34,"2022,05,30,11:55:59"
173.75,3136.34,"2022,05,30,11:56:00"
174,3137.35,"2022,05,30,11:56:01"
173.5,3138.35,"2022,05,30,11:56:02"
173.5,3139.35,"2022,05,30,11:56:03"
174,3140.35,"2022,05,30,11:56:04"
174.5,3141.35,"2022,05,30,11:56:05"
174,3142.35,"2022,05,30,11:56:06"
174.75,3143.36,"2022,05,30,11:56:07"
174.5,3144.36,"2022,05,30,11:56:08"
174.25,3145.36,"2022,05,30,11:56:09"
174.75,3146.36,"2022,05,30,11:56:10"
175.25,3147.36,"2022,05,30,11:56:11"
174.75,3148.36,"2022,05,30,11:56:12"
175,3149.37,"2022,05,30,11:56:13"
175,3150.37,"2022,05,30,11:56:14"
175,3151.37,"2022,05,30,11:56:15"
175.75,3152.37,"2022,05,30,11:56:16"
175.75,3153.37,"2022,05,30,11:56:17"
176,3154.37,"2022,05,30,11:56:18"
176,3155.38,"2022,05,30,11:56:19"
176.25,3156.38,"2022,05,30,11:56:20"
175.75,3157.38,"2022,05,30,11:56:21"
175.5,3158.38,"2022,05,30,11:56:22"
175.75,3159.38,"2022,05,30,11:56:23"
176,3160.38,"2022,05,30,11:56:24"
176.75,3161.39,"2022,05,30,11:56:25"
176,3162.39,"2022,05,30,11:56:26"
176.75,3163.39,"2022,05,30,11:56:27"
176.5,3164.39,"2022,05,30,11:56:28"
177,3165.39,"2022,05,30,11:56:29"
176.75,3166.39,"2022,05,30,11:56:30"
177.5,3167.4,"2022,05,30,11:56:31"
177,3168.4,"2022,05,30,11:56:32"
177.5,3169.4,"2022,05,30,11:56:33"
177.75,3170.4,"2022,05,30,11:56:34"
177,3171.4,"2022,05,30,11:56:35"
177.75,3172.4,"2022,05,30,11:56:36"
177.25,3173.41,"2022,05,30,11:56:37"
178,3174.41,"2022,05,30,11:56:38"
177.5,3175.41,"2022,05,30,11:56:39"
178,3176.41,"2022,05,30,11:56:40"
178.25,3177.41,"2022,05,30,11:56:41"
178,3178.41,"2022,05,30,11:56:42"
178.5,3179.42,"2022,05,30,11:56:43"
178.75,3180.42,"2022,05,30,11:56:44"
178.75,3181.42,"2022,05,30,11:56:45"
178.25,3182.42,"2022,05,30,11:56:46"
178.5,3183.42,"2022,05,30,11:56:47"
178.5,3184.42,"2022,05,30,11:56:48"
179.25,3185.43,"2022,05,30,11:56:49"
178.5,3186.43,"2022,05,30,11:56:50"
179.25,3187.43,"2022,05,30,11:56:51"
178.75,3188.43,"2022,05,30,11:56:52"
179,3189.43,"2022,05,30,11:56:53"
179,3190.43,"2022,05,30,11:56:54"
179.75,3191.44,"2022,05,30,11:56:55"
179.25,3192.44,"2022,05,30,11:56:56"
179.25,3193.44,"2022,05,30,11:56:57"
179.75,3194.44,"2022,05,30,11:56:58"
179.75,3195.44,"2022,05,30,11:56:59"
179.5,3196.44,"2022,05,30,11:57:00"
179.75,3197.45,"2022,05,30,11:57:01"
180,3198.45,"2022,05,30,11:57:02"
180,3199.45,"2022,05,30,11:57:03"
180,3200.45,"2022,05,30,11:57:04"
180.75,3201.45,"2022,05,30,11:57:05"
180.25,3202.45,"2022,05,30,11:57:06"
181,3203.46,"2022,05,30,11:57:07"
181,3204.46,"2022,05,30,11:57:08"
180.75,3205.46,"2022,05,30,11:57:09"
181,3206.46,"2022,05,30,11:57:10"
180.5,3207.46,"2022,05,30,11:57:11"
181,3208.46,"2022,05,30,11:57:12"
180.5,3209.47,"2022,05,30,11:57:13"
181.5,3210.47,"2022,05,30,11:57:14"
181.75,3211.47,"2022,05,30,11:57:15"
181,3212.47,"2022,05,30,11:57:16"
181,3213.47,"2022,05,30,11:57:17"
181,3214.47,"2022,05,30,11:57:18"
181.25,3215.48,"2022,05,30,11:57:19"
182,3216.48,"2022,05,30,11:57:20"
181.5,3217.48,"2022,05,30,11:57:21"
182.25,3218.48,"2022,05,30,11:57:22"
182.25,3219.48,"2022,05,30,11:57:23"
181.75,3220.48,"2022,05,30,11:57:24"
182.25,3221.49,"2022,05,30,11:57:25"
182.5,3222.49,"2022,05,30,11:57:26"
182,3223.49,"2022,05,30,11:57:27"
182,3224.49,"2022,05,30,11:57:28"
183,3225.49,"2022,05,30,11:57:29"
183,3226.49,"2022,05,30,11:57:30"
183,3227.5,"2022,05,30,11:57:31"
182.5,3228.5,"2022,05,30,11:57:32"
182.75,3229.5,"2022,05,30,11:57:33"
183,3230.5,"2022,05,30,11:57:34"
182.75,3231.5,"2022,05,30,11:57:35"
183,3232.5,"2022,05,30,11:57:36"
183.25,3233.5,"2022,05,30,11:57:37"
183.25,3234.51,"2022,05,30,11:57:38"
183.5,3235.51,"2022,05,30,11:57:39"
183.5,3236.51,"2022,05,30,11:57:40"
183.25,3237.51,"2022,05,30,11:57:41"
183.25,3238.51,"2022,05,30,11:57:42"
184.25,3239.51,"2022,05,30,11:57:43"
183.75,3240.52,"2022,05,30,11:57:44"
184,3241.52,"2022,05,30,11:57:45"
183.75,3242.52,"2022,05,30,11:57:46"
184,3243.52,"2022,05,30,11:57:47"
184.5,3244.52,"2022,05,30,11:57:48"
184.75,3245.52,"2022,05,30,11:57:49"
184.5,3246.53,"2022,05,30,11:57:50"
184,3247.53,"2022,05,30,11:57:51"
184,3248.53,"2022,05,30,11:57:52"
184.75,3249.53,"2022,05,30,11:57:53"
184.5,3250.53,"2022,05,30,11:57:54"
185,3251.53,"2022,05,30,11:57:55"
184.5,3252.54,"2022,05,30,11:57:56"
184.75,3253.54,"2022,05,30,11:57:57"
185,3254.54,"2022,05,30,11:57:58"
184.75,3255.54,"2022,05,30,11:57:59"
185.75,3256.54,"2022,05,30,11:58:00"
185.5,3257.54,"2022,05,30,11:58:01"
186,3258.55,"2022,05,30,11:58:02"
185.25,3259.55,"2022,05,30,11:58:03"
185.75,3260.55,"2022,05,30,11:58:04"
185.25,3261.55,"2022,05,30,11:58:05"
185.5,3262.55,"2022,05,30,11:58:06"
186,3263.55,"2022,05,30,11:58:07"
185.5,3264.56,"2022,05,30,11:58:08"
186.25,3265.56,"2022,05,30,11:58:09"
186.25,3266.56,"2022,05,30,11:58:10"
186,3267.56,"2022,05,30,11:58:11"
186.25,3268.56,"2022,05,30,11:58:12"
186.25,3269.56,"2022,05,30,11:58:13"
186.25,3270.57,"2022,05,30,11:58:14"
186.75,3271.57,"2022,05,30,11:58:15"
186.75,3272.57,"2022,05,30,11:58:16"
186.5,3273.57,"2022,05,30,11:58:17"
186.5,3274.57,"2022,05,30,11:58:18"
186.5,3275.57,"2022,05,30,11:58:19"
187.25,3276.58,"2022,05,30,11:58:20"
186.75,3277.58,"2022,05,30,11:58:21"
187,3278.58,"2022,05,30,11:58:22"
187.75,3279.58,"2022,05,30,11:58:23"
187.25,3280.58,"2022,05,30,11:58:24"
187.5,3281.58,"2022,05,30,11:58:25"
187.5,3282.59,"2022,05,30,11:58:26"
187.75,3283.59,"2022,05,30,11:58:27"
188,3284.59,"2022,05,30,11:58:28"
187.75,3285.59,"2022,05,30,11:58:29"
188,3286.59,"2022,05,30,11:58:30"
188.25,3287.59,"2022,05,30,11:58:31"
188.5,3288.6,"2022,05,30,11:58:32"
188.5,3289.6,"2022,05,30,11:58:33"
188,3290.6,"2022,05,30,11:58:34"
188,3291.6,"2022,05,30,11:58:35"
188.25,3292.6,"2022,05,30,11:58:36"
188.25,3293.6,"2022,05,30,11:58:37"
188.75,3294.61,"2022,05,30,11:58:38"
188.5,3295.61,"2022,05,30,11:58:39"
188.75,3296.61,"2022,05,30,11:58:40"
188.5,3297.61,"2022,05,30,11:58:41"
189,3298.61,"2022,05,30,11:58:42"
188.5,3299.61,"2022,05,30,11:58:43"
189.25,3300.61,"2022,05,30,11:58:44"
188.75,3301.62,"2022,05,30,11:58:45"
188.75,3302.62,"2022,05,30,11:58:46"
188.75,3303.62,"2022,05,30,11:58:47"
189.5,3304.62,"2022,05,30,11:58:48"
189.75,3305.62,"2022,05,30,11:58:49"
190,3306.62,"2022,05,30,11:58:50"
189.25,3307.63,"2022,05,30,11:58:51"
190.25,3308.63,"2022,05,30,11:58:52"
