T,t
116.57825297051048,1035.0
116.32338887628762,1036.0
115.81366068784192,1037.0
116.32338887628762,1038.0
116.06852478206477,1039.0
116.83311706473333,1040.0
116.57825297051048,1041.0
116.06852478206477,1042.0
116.32338887628762,1043.0
116.57825297051048,1044.0
116.06852478206477,1045.0
116.83311706473333,1046.0
116.06852478206477,1047.0
116.57825297051048,1048.0
116.83311706473333,1049.0
116.32338887628762,1050.0
116.57825297051048,1051.0
116.57825297051048,1052.0
116.06852478206477,1053.0
116.06852478206477,1054.0
116.57825297051048,1055.0
115.81366068784192,1056.0
116.57825297051048,1057.0
115.81366068784192,1058.0
115.81366068784192,1059.0
115.81366068784192,1060.0
116.06852478206477,1061.0
116.32338887628762,1062.0
115.55879659361905,1063.0
116.32338887628762,1064.0
116.32338887628762,1065.0
116.06852478206477,1066.0
116.57825297051048,1067.0
116.32338887628762,1068.0
115.81366068784192,1069.0
115.81366068784192,1070.0
116.06852478206477,1071.0
115.81366068784192,1072.0
116.32338887628762,1073.0
116.57825297051048,1074.0
116.57825297051048,1075.0
116.32338887628762,1076.0
116.06852478206477,1077.0
116.06852478206477,1078.0
116.06852478206477,1079.0
116.83311706473333,1080.0
116.32338887628762,1081.0
116.83311706473333,1082.0
116.06852478206477,1083.0
116.57825297051048,1084.0
117.34284525317905,1085.0
116.83311706473333,1086.0
116.83311706473333,1087.0
116.57825297051048,1088.0
117.5977093474019,1089.0
116.83311706473333,1090.0
117.85257344162476,1091.0
117.08798115895618,1092.0
117.34284525317905,1093.0
117.85257344162476,1094.0
117.34284525317905,1095.0
118.10743753584761,1096.0
117.85257344162476,1097.0
118.36230163007046,1098.0
118.36230163007046,1099.0
118.61716572429332,1100.0
118.61716572429332,1101.0
118.87202981851618,1102.0
118.87202981851618,1103.0
118.36230163007046,1104.0
119.38175800696189,1105.0
118.87202981851618,1106.0
118.87202981851618,1107.0
118.87202981851618,1108.0
119.8914861954076,1109.0
119.12689391273904,1110.0
119.63662210118474,1111.0
119.38175800696189,1112.0
120.4012143838533,1113.0
120.65607847807617,1114.0
120.4012143838533,1115.0
119.8914861954076,1116.0
120.65607847807617,1117.0
120.4012143838533,1118.0
120.4012143838533,1119.0
121.42067076074473,1120.0
120.91094257229902,1121.0
121.16580666652187,1122.0
121.16580666652187,1123.0
121.16580666652187,1124.0
122.1852630434133,1125.0
121.67553485496758,1126.0
121.67553485496758,1127.0
121.67553485496758,1128.0
122.1852630434133,1129.0
122.1852630434133,1130.0
123.20471942030471,1131.0
122.694991231859,1132.0
123.45958351452757,1133.0
122.94985532608186,1134.0
123.20471942030471,1135.0
122.94985532608186,1136.0
123.45958351452757,1137.0
123.45958351452757,1138.0
124.22417579719614,1139.0
123.96931170297329,1140.0
123.71444760875042,1141.0
123.96931170297329,1142.0
124.73390398564185,1143.0
124.22417579719614,1144.0
124.47903989141899,1145.0
125.24363217408755,1146.0
124.73390398564185,1147.0
125.24363217408755,1148.0
125.49849626831042,1149.0
125.24363217408755,1150.0
125.24363217408755,1151.0
125.49849626831042,1152.0
126.26308855097898,1153.0
125.75336036253327,1154.0
126.51795264520183,1155.0
