"t","relay","T"
894,0,115.813660687842
895,1,115.558796593619
896,1,115.813660687842
897,1,116.068524782065
898,1,115.813660687842
899,1,117.087981158956
900,0,116.833117064733
901,0,116.833117064733
902,0,117.087981158956
903,0,116.57825297051
904,0,116.833117064733
905,0,116.833117064733
906,0,117.597709347402
907,0,116.833117064733
908,0,117.087981158956
909,0,117.087981158956
910,0,117.597709347402
911,0,117.597709347402
912,0,117.087981158956
913,0,117.597709347402
914,0,117.087981158956
915,0,117.597709347402
916,0,116.833117064733
917,0,117.597709347402
918,0,117.597709347402
919,0,116.57825297051
920,0,117.087981158956
921,0,116.57825297051
922,0,116.323388876288
923,0,116.57825297051
924,0,116.068524782065
925,1,117.087981158956
926,0,116.57825297051
927,0,116.833117064733
928,0,116.068524782065
929,1,116.833117064733
930,0,116.323388876288
931,0,115.813660687842
932,1,116.57825297051
933,0,115.558796593619
934,1,115.558796593619
935,1,115.558796593619
936,1,115.303932499396
937,1,115.813660687842
938,1,116.068524782065
939,1,115.303932499396
940,1,115.303932499396
941,1,115.813660687842
942,1,115.813660687842
943,1,115.813660687842
944,1,115.303932499396
945,1,115.049068405173
946,1,115.813660687842
947,1,116.068524782065
948,1,115.558796593619
949,1,116.068524782065
950,1,115.303932499396
951,1,116.068524782065
952,1,115.303932499396
953,1,116.323388876288
954,0,115.813660687842
955,1,116.068524782065
956,1,115.303932499396
957,1,116.068524782065
958,1,116.323388876288
959,0,115.813660687842
960,1,115.813660687842
961,1,116.57825297051
962,0,116.068524782065
963,1,116.323388876288
964,0,115.558796593619
965,1,116.068524782065
966,1,116.323388876288
967,0,116.068524782065
968,1,115.813660687842
969,1,116.068524782065
970,1,116.323388876288
971,0,116.323388876288
972,0,116.323388876288
973,0,116.833117064733
974,0,116.068524782065
975,1,116.068524782065
976,1,116.068524782065
977,1,116.57825297051
978,0,115.813660687842
979,1,116.323388876288
980,0,116.833117064733
981,0,116.068524782065
982,1,116.833117064733
983,0,116.068524782065
984,1,116.068524782065
985,1,115.813660687842
986,1,116.57825297051
987,0,116.57825297051
988,0,115.813660687842
989,1,116.323388876288
990,0,116.323388876288
